ID_IBGE;Municipio;Populacao_2022;Privatizacao;Escolas
3546801;Santa Isabel;56635;;
3546900;Santa Lúcia;7004;;
3547007;Santa Maria da Serra;5753;;
3547106;Santa Mercedes;2952;;
3547403;Santa Rita d'Oeste;2736;;
3547502;Santa Rita do Passa Quatro;24858;;
3547601;Santa Rosa de Viterbo;23783;;
3547650;Santa Salete;1644;;
3547205;Santana da Ponte Pensa;1669;;
3547304;Santana de Parnaíba;163348;;
3547700;Santo Anastácio;17875;;
3547809;Santo André;776640;;
3547908;Santo Antônio da Alegria;6775;;
3548005;Santo Antônio de Posse;23102;;
3548054;Santo Antônio do Aracanguá;8322;;
3548104;Santo Antônio do Jardim;6114;;
3548203;Santo Antônio do Pinhal;7071;;
3548302;Santo Expedito;3004;;
3548401;Santópolis do Aguapeí;3899;;
3548500;Santos;414029;;
3548609;São Bento do Sapucaí;11427;;
3548708;São Bernardo do Campo;832347;;
3548807;São Caetano do Sul;166847;;
3548906;São Carlos;256898;;
3549003;São Francisco;2602;;
3549102;São João da Boa Vista;92319;;
3549201;São João das Duas Pontes;2569;;
3549250;São João de Iracema;1843;;
3549300;São João do Pau d'Alho;2226;;
3549409;São Joaquim da Barra;48058;;
3549508;São José da Bela Vista;7642;;
3549607;São José do Barreiro;4313;;
3549706;São José do Rio Pardo;51668;;
3549805;São José do Rio Preto;475643;;
3549904;São José dos Campos;725419;;
3549953;São Lourenço da Serra;15992;;
3550001;São Luiz do Paraitinga;10181;;
3550100;São Manuel;39467;;
3550209;São Miguel Arcanjo;32062;;
3550308;São Paulo;12200180;;
3550407;São Pedro;38991;;
3550506;São Pedro do Turvo;7155;;
3550605;São Roque;85848;;
3550704;São Sebastião;87939;;
3550803;São Sebastião da Grama;10023;;
3550902;São Simão;13374;;
3551009;São Vicente;334632;;
3551108;Sarapuí;10334;;
3551207;Sarutaiá;3713;;
3551306;Sebastianópolis do Sul;3184;;
3551405;Serra Azul;10429;;
3551603;Serra Negra;29915;;
3551504;Serrana;44495;;
3551702;Sertãozinho;127670;;
3551801;Sete Barras;13694;;
3551900;Severínia;14020;;
3552007;Silveiras;6169;;
3552106;Socorro;40323;;
3552205;Sorocaba;738128;;
3552304;Sud Mennucci;6997;;
3552403;Sumaré;294128;;
3552551;Suzanápolis;3315;;
3552502;Suzano;330710;;
3552601;Tabapuã;11323;;
3552700;Tabatinga;14585;;
3552809;Taboão da Serra;283419;;
3552908;Taciba;6243;;
3553005;Taguaí;12637;;
3553104;Taiaçu;5677;;
3553203;Taiúva;6549;;
3553302;Tambaú;21475;;
3553401;Tanabi;25370;;
3553500;Tapiraí;7987;;
3553609;Tapiratiba;11730;;
3553658;Taquaral;2620;;
3553708;Taquaritinga;51833;;
3553807;Taquarituba;24366;;
3553856;Taquarivaí;7057;;
3553906;Tarabai;6535;;
3553955;Tarumã;14899;;
3554003;Tatuí;122991;;
3554102;Taubaté;311912;;
3554201;Tejupá;4139;;
3554300;Teodoro Sampaio;22217;;
3554409;Terra Roxa;7903;;
3554508;Tietê;38336;;
3554607;Timburi;2434;;
3554656;Torre de Pedra;2044;;
3554706;Torrinha;9303;;
3554755;Trabiju;1729;;
3554805;Tremembé;51489;;
3554904;Três Fronteiras;6802;;
3554953;Tuiuti;6831;;
3555000;Tupã;63551;;
3555109;Tupi Paulista;15839;;
3555208;Turiúba;1798;;
3555307;Turmalina;1689;;
3555356;Ubarana;5365;;
3555406;Ubatuba;97382;;
3555505;Ubirajara;5124;;
3555604;Uchoa;10067;;
3555703;União Paulista;1535;;
3555802;Urânia;8840;;
3555901;Uru;1387;;
3556008;Urupês;13540;;
3556107;Valentim Gentil;14132;;
3556206;Valinhos;132846;;
3556305;Valparaíso;23775;;
3556354;Vargem;9948;;
3556404;Vargem Grande do Sul;39539;;
3556453;Vargem Grande Paulista;53777;;
3556503;Várzea Paulista;125054;;
3556602;Vera Cruz;10194;;
3556701;Vinhedo;82029;;
3556800;Viradouro;17413;;
3556909;Vista Alegre do Alto;8108;;
3556958;Vitória Brasil;1796;;
3557006;Votorantim;137319;;
3557105;Votuporanga;96795;;
3557154;Zacarias;2680;;
